48.208.208.22,192.168.0.103,UDP,3480,54119,163,2025-06-29 00:51:54.204653
48.208.208.22,192.168.0.103,UDP,3480,54119,147,2025-06-29 00:51:54.208690
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.212680
192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.216189
48.208.208.22,192.168.0.103,UDP,3480,54119,155,2025-06-29 00:51:54.218691
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.220685
48.208.208.22,192.168.0.103,UDP,3480,54119,153,2025-06-29 00:51:54.222682
192.168.0.103,48.208.208.22,UDP,54119,3480,152,2025-06-29 00:51:54.226710
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.229687
48.208.208.22,192.168.0.103,UDP,3480,54119,153,2025-06-29 00:51:54.231681
192.168.0.103,48.208.208.22,UDP,54119,3480,83,2025-06-29 00:51:54.234676
192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.237692
48.208.208.22,192.168.0.103,UDP,3480,54119,149,2025-06-29 00:51:54.239686
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.240684
48.208.208.22,192.168.0.103,UDP,3480,54119,142,2025-06-29 00:51:54.242678
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.246186
48.208.208.22,192.168.0.103,UDP,3480,54119,150,2025-06-29 00:51:54.249685
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.252677
192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.256707
48.208.208.22,192.168.0.103,UDP,3480,54119,142,2025-06-29 00:51:54.259684
48.208.208.22,192.168.0.103,UDP,3480,54119,142,2025-06-29 00:51:54.262675
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.265669
48.208.208.22,192.168.0.103,UDP,3480,54119,143,2025-06-29 00:51:54.270655
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.273646
48.208.208.22,192.168.0.103,UDP,3480,54119,141,2025-06-29 00:51:54.279684
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.282675
192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.286185
48.208.208.22,192.168.0.103,UDP,3480,54119,146,2025-06-29 00:51:54.287689
192.168.0.103,192.168.0.1,UDP,65026,53,74,2025-06-29 00:51:54.291679
192.168.0.103,192.168.0.1,UDP,65151,53,74,2025-06-29 00:51:54.294671
192.168.0.1,192.168.0.103,UDP,53,65026,162,2025-06-29 00:51:54.297691
192.168.0.1,192.168.0.103,UDP,53,65151,171,2025-06-29 00:51:54.302679
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.306701
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.313674
192.168.0.103,142.251.47.100,UDP,53876,443,117,2025-06-29 00:51:54.317686
142.251.47.100,192.168.0.103,UDP,443,53876,82,2025-06-29 00:51:54.321675
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.325665
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.329678
48.208.208.22,192.168.0.103,UDP,3480,54119,83,2025-06-29 00:51:54.333669
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.338685
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.344674
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.348687
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.353673
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.356700
192.168.0.103,48.208.208.22,UDP,54119,3480,86,2025-06-29 00:51:54.360680
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.363672
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.368691
192.168.0.103,48.208.208.22,UDP,54119,3480,167,2025-06-29 00:51:54.372681
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.375674
192.168.0.103,48.208.208.22,UDP,54119,3480,179,2025-06-29 00:51:54.378698
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.380691
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.385679
48.208.208.22,192.168.0.103,UDP,3480,54119,110,2025-06-29 00:51:54.388697
192.168.0.103,48.208.208.22,UDP,54119,3480,183,2025-06-29 00:51:54.390691
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.394681
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.398700
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.419695
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.423684
192.168.0.103,48.208.208.22,UDP,54119,3480,186,2025-06-29 00:51:54.434683
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.439697
192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.443685
192.168.0.103,48.208.208.22,UDP,54119,3480,174,2025-06-29 00:51:54.447701
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.452689
192.168.0.103,48.208.208.22,UDP,54119,3480,169,2025-06-29 00:51:54.456193
